Source,Target,weights
121,14,0.0033289504666666665
123,58,0.003158070566666666
121,8,0.003156382866666667
121,20,0.0031133883
124,1,0.003106216466666667
121,25,0.003041401733333333
125,5,0.002981678366666667
121,78,0.0029062265666666668
126,2,0.0028812962
121,127,0.002831409366666667
128,15,0.0028286055666666664
126,4,0.0027653952999999996
121,97,0.0027570695
129,5,0.0027490598666666667
129,16,0.0027468837666666667
121,27,0.0027061473666666665
130,7,0.0027050168333333335
131,86,0.0027036410999999997
121,132,0.002699643866666667
122,15,0.0026976704333333333
121,9,0.002692599533333333
128,8,0.002680105133333334
133,0,0.002658546333333333
134,0,0.0026319567666666667
122,58,0.0026317006999999996
130,22,0.002617940166666667
125,135,0.0026176081
133,13,0.0026071837999999997
136,13,0.0025965287333333336
137,1,0.002576989233333333
130,138,0.0025580204666666665
130,115,0.0025262942666666667
139,140,0.0025204776333333334
141,17,0.0025170223333333334
142,1,0.0025087238
143,144,0.0024932346333333332
139,145,0.002482105933333333
146,147,0.002480618133333333
130,32,0.0024727009
130,107,0.0024428547
148,5,0.0024395886666666667
149,15,0.0024307055333333332
130,0,0.0024262255333333334
131,0,0.0024100189
121,33,0.0024028947333333333
148,9,0.0024023423999999997
139,150,0.0023965279666666663
151,58,0.007104151866666668
152,15,0.0056490782
153,15,0.005506734666666666
154,1,0.0054984414999999995
153,38,0.005448652433333334
155,1,0.005443982533333333
156,14,0.005429744233333333
151,14,0.005368761333333333
156,1,0.0053470517333333335
155,58,0.005253314833333334
157,15,0.005163094366666667
157,14,0.005104219966666667
158,1,0.005056071133333333
153,58,0.004983678766666667
153,1,0.0049704497
153,14,0.004856552333333333
151,38,0.004824811500000001
155,15,0.004823553
159,1,0.004811678733333333
157,58,0.004733755833333333
155,114,0.004723842933333334
160,1,0.004628678600000001
160,15,0.004604344266666667
153,114,0.0045570741
153,2,0.0045476546
153,3,0.004485193766666667
151,15,0.004477252433333333
161,1,0.004457126166666666
162,9,0.0044168588
154,58,0.0044006006666666665
162,58,0.004383586833333334
158,15,0.004347864233333333
157,7,0.004288037000000001
159,15,0.0042801023
151,1,0.004269146533333333
163,15,0.004260560833333334
164,1,0.0042572839
159,58,0.004217225033333333
154,9,0.004123282866666667
153,64,0.004112016233333334
161,14,0.004105053633333334
154,87,0.004090915333333334
155,9,0.004082487866666667
151,165,0.004071442866666666
154,15,0.0040682873999999996
156,58,0.004062518333333333
152,9,0.0040559702
153,118,0.0040475697
153,35,0.0040460013
152,34,0.0040417441
