,genes,Approved symbol,all_symbols,Previous symbols,Alias symbols,cce_genes_symbols,symbol_updated,CCE_symbol,Hugo_symbol,Previous_symbol,pathway_genes_cce,pathway_genes_hugo,duplicated,Final_symbol
4465,CLCF1,CLCF1,"CLCF1, NA, NNT1, BSF3, CLC, NR6, CISS2, BSF-3, NNT-1",NA,"NNT1, BSF3, CLC, NR6, CISS2, BSF-3, NNT-1",CLCF1,True,CLCF1,CLCF1,CLCF1,CLCF1,CLCF1,False,CLCF1
4466,CLCN1,CLCN1,"CLCN1, NA, CLC1, ClC-1",NA,"CLC1, ClC-1",CLCN1,False,CLCN1,CLCN1,,CLCN1,CLCN1,False,CLCN1
4467,CLCN2,CLCN2,"CLCN2, NA, CLC2, EJM6, ClC-2",NA,"CLC2, EJM6, ClC-2",CLCN2,False,CLCN2,CLCN2,,CLCN2,CLCN2,False,CLCN2
4468,CLCN3,CLCN3,"CLCN3, NA, CLC3, ClC-3",NA,"CLC3, ClC-3",CLCN3,False,CLCN3,CLCN3,,CLCN3,CLCN3,False,CLCN3
4469,CLCN4,CLCN4,"CLCN4, NA, CLC4, ClC-4",NA,"CLC4, ClC-4",CLCN4,False,CLCN4,CLCN4,,CLCN4,CLCN4,False,CLCN4
4470,CLCN5,CLCN5,"CLCN5, NPHL2, NPHL1, DENTS, XLRH, hClC-K2, hCIC-K2, CLC5, XRN, ClC-5","NPHL2, NPHL1","DENTS, XLRH, hClC-K2, hCIC-K2, CLC5, XRN, ClC-5",CLCN5,False,CLCN5,CLCN5,,CLCN5,CLCN5,False,CLCN5
587,CLCN6,CLCN6,"CLCN6, NA, CLC-6, KIAA0046, ClC-6",NA,"CLC-6, KIAA0046, ClC-6",CLCN6,False,CLCN6,CLCN6,,CLCN6,CLCN6,False,CLCN6
4471,CLCN7,CLCN7,"CLCN7, NA, CLC-7, OPTA2, CLC7, ClC-7, PPP1R63",NA,"CLC-7, OPTA2, CLC7, ClC-7, PPP1R63",CLCN7,False,CLCN7,CLCN7,,CLCN7,CLCN7,False,CLCN7
4472,CLCNKA,CLCNKA,"CLCNKA, NA, hClC-Ka",NA,hClC-Ka,CLCNKA,False,CLCNKA,CLCNKA,,CLCNKA,CLCNKA,False,CLCNKA
4473,CLCNKB,CLCNKB,"CLCNKB, NA, hClC-Kb",NA,hClC-Kb,CLCNKB,False,CLCNKB,CLCNKB,,CLCNKB,CLCNKB,False,CLCNKB
4482,CLDN1,CLDN1,"CLDN1, NA, SEMP1, ILVASC",NA,"SEMP1, ILVASC",CLDN1,False,CLDN1,CLDN1,,CLDN1,CLDN1,False,CLDN1
4474,CLDN10,CLDN10,"CLDN10, NA, OSP-L, CPETRL3",NA,"OSP-L, CPETRL3",CLDN10,False,CLDN10,CLDN10,,CLDN10,CLDN10,False,CLDN10
4475,CLDN11,,,,,,,CLDN11,,,CLDN11,,False,CLDN11
4476,CLDN12,CLDN12,"CLDN12, NA, NA",NA,NA,CLDN12,False,CLDN12,CLDN12,,CLDN12,CLDN12,False,CLDN12
4477,CLDN14,CLDN14,"CLDN14, DFNB29, NA",DFNB29,NA,CLDN14,False,CLDN14,CLDN14,,CLDN14,CLDN14,False,CLDN14
